iter	Passed	Remaining
0	147	147313
1	152	76079
2	154	51246
3	155	38765
4	157	31293
5	160	26508
6	162	23080
7	164	20439
8	167	18457
9	170	16836
10	172	15513
11	174	14396
12	176	13427
13	179	12652
14	181	11931
15	183	11315
16	186	10785
17	188	10298
18	191	9861
19	193	9486
20	195	9127
21	198	8810
22	200	8516
23	203	8260
24	205	8013
25	208	7813
26	211	7607
27	214	7441
28	216	7254
29	219	7086
30	221	6932
31	225	6811
32	227	6662
33	229	6516
34	231	6380
35	233	6258
36	235	6137
37	237	6017
38	239	5903
39	241	5803
40	243	5702
41	245	5603
42	247	5513
43	249	5422
44	251	5337
45	253	5261
46	255	5178
47	257	5105
48	259	5031
49	260	4950
50	262	4879
51	264	4817
52	266	4758
53	268	4697
54	269	4639
55	271	4582
56	273	4528
57	275	4473
58	276	4417
59	278	4361
60	280	4317
61	282	4270
62	284	4225
63	286	4185
64	288	4147
65	290	4109
66	292	4070
67	293	4021
68	295	3992
69	297	3958
70	299	3921
71	301	3888
72	303	3853
73	305	3819
74	307	3786
75	308	3754
76	310	3726
77	312	3696
78	314	3666
79	316	3636
80	317	3605
81	319	3576
82	321	3547
83	322	3518
84	323	3486
85	325	3462
86	327	3432
87	328	3406
88	330	3382
89	332	3358
90	333	3332
91	335	3307
92	336	3283
93	338	3259
94	339	3237
95	341	3215
96	342	3192
97	344	3172
98	346	3152
99	347	3131
100	349	3111
101	350	3084
102	351	3065
103	353	3048
104	355	3033
105	357	3018
106	359	3002
107	361	2986
108	363	2971
109	365	2953
110	366	2937
111	368	2923
112	370	2906
113	371	2888
114	373	2872
115	374	2854
116	376	2839
117	378	2827
118	379	2811
119	381	2797
120	383	2783
121	385	2771
122	386	2752
123	387	2738
124	389	2724
125	390	2710
126	392	2696
127	393	2680
128	395	2667
129	396	2653
130	397	2639
131	399	2626
132	400	2613
133	402	2600
134	403	2587
135	405	2574
136	406	2561
137	407	2547
138	409	2534
139	410	2522
140	412	2510
141	413	2499
142	415	2487
143	416	2476
144	418	2466
145	419	2456
146	421	2446
147	423	2437
148	425	2428
149	427	2420
150	428	2410
151	430	2401
152	432	2391
153	433	2381
154	435	2372
155	436	2362
156	438	2353
157	439	2344
158	441	2335
159	443	2326
160	444	2318
161	446	2309
162	448	2301
163	449	2293
164	451	2285
165	453	2277
166	454	2268
167	456	2260
168	458	2252
169	459	2245
170	461	2237
171	463	2230
172	464	2222
173	466	2214
174	467	2206
175	469	2198
176	471	2191
177	472	2183
178	474	2176
179	476	2169
180	477	2158
181	478	2152
182	480	2145
183	482	2139
184	484	2132
185	485	2126
186	487	2119
187	489	2112
188	490	2105
189	492	2099
190	494	2092
191	495	2085
192	497	2079
193	498	2072
194	500	2066
195	502	2059
196	503	2053
197	505	2047
198	506	2040
199	508	2033
200	510	2028
201	511	2022
202	513	2017
203	515	2011
204	517	2006
205	519	2000
206	520	1994
207	522	1989
208	524	1983
209	525	1977
210	527	1972
211	529	1967
212	530	1961
213	532	1956
214	534	1950
215	535	1944
216	537	1939
217	539	1934
218	541	1929
219	542	1924
220	544	1919
221	546	1913
222	547	1908
223	549	1903
224	550	1897
225	552	1892
226	554	1887
227	555	1881
228	557	1877
229	559	1871
230	560	1865
231	561	1860
232	563	1854
233	564	1848
234	566	1843
235	567	1837
236	569	1832
237	570	1826
238	572	1821
239	573	1816
240	574	1810
241	576	1806
242	578	1801
243	579	1796
244	581	1791
245	582	1786
246	584	1782
247	586	1777
248	587	1772
249	589	1767
250	590	1763
251	592	1758
252	593	1753
253	595	1749
254	597	1744
255	598	1739
256	600	1735
257	601	1730
258	603	1725
259	604	1721
260	606	1716
261	607	1711
262	609	1706
263	610	1701
264	612	1697
265	613	1693
266	615	1689
267	616	1685
268	618	1680
269	620	1676
270	621	1672
271	623	1668
272	624	1664
273	626	1660
274	628	1657
275	630	1653
276	631	1649
277	633	1645
278	635	1641
279	636	1637
280	637	1632
281	639	1628
282	641	1624
283	642	1620
284	643	1615
285	645	1610
286	646	1605
287	647	1600
288	648	1595
289	649	1590
290	650	1585
291	651	1580
292	652	1575
293	654	1571
294	655	1566
295	656	1561
296	657	1556
297	658	1551
298	659	1546
299	660	1541
300	661	1536
301	662	1531
302	663	1527
303	664	1522
304	666	1518
305	667	1514
306	668	1509
307	670	1505
308	671	1501
309	672	1497
310	673	1493
311	675	1488
312	676	1485
313	677	1480
314	679	1476
315	680	1473
316	682	1470
317	683	1466
318	685	1463
319	686	1459
320	688	1456
321	690	1453
322	691	1449
323	693	1446
324	694	1442
325	695	1438
326	697	1435
327	699	1432
328	700	1429
329	702	1426
330	704	1423
331	705	1419
332	707	1416
333	708	1413
334	710	1409
335	711	1406
336	713	1403
337	715	1400
338	716	1397
339	718	1394
340	720	1391
341	721	1388
342	723	1385
343	724	1382
344	726	1378
345	728	1376
346	729	1373
347	731	1369
348	732	1366
349	734	1363
350	735	1359
351	736	1356
352	738	1353
353	739	1350
354	741	1347
355	742	1343
356	744	1340
357	745	1337
358	747	1334
359	748	1331
360	750	1328
361	751	1324
362	753	1321
363	754	1318
364	756	1316
365	757	1312
366	759	1309
367	760	1306
368	762	1303
369	763	1300
370	764	1296
371	766	1293
372	768	1291
373	769	1288
374	771	1285
375	773	1283
376	774	1280
377	776	1277
378	777	1274
379	779	1271
380	780	1267
381	781	1264
382	783	1261
383	784	1258
384	786	1255
385	787	1253
386	789	1250
387	790	1247
388	792	1244
389	794	1242
390	795	1239
391	797	1237
392	799	1234
393	800	1231
394	802	1229
395	804	1227
396	806	1224
397	807	1221
398	809	1219
399	810	1216
400	812	1213
401	813	1210
402	815	1207
403	816	1204
404	818	1202
405	819	1199
406	820	1196
407	822	1193
408	823	1190
409	824	1186
410	825	1183
411	827	1180
412	828	1177
413	829	1174
414	830	1171
415	831	1167
416	833	1164
417	834	1161
418	835	1158
419	836	1155
420	837	1152
421	839	1149
422	840	1146
423	841	1143
424	842	1139
425	843	1136
426	844	1133
427	845	1130
428	847	1127
429	848	1124
430	849	1121
431	850	1118
432	851	1115
433	853	1112
434	854	1109
435	855	1106
436	856	1103
437	857	1100
438	858	1097
439	860	1094
440	861	1091
441	862	1088
442	863	1085
443	864	1082
444	865	1079
445	867	1077
446	868	1074
447	869	1071
448	870	1068
449	872	1066
450	873	1063
451	874	1060
452	875	1057
453	877	1054
454	878	1052
455	879	1049
456	880	1046
457	881	1043
458	882	1040
459	884	1037
460	885	1035
461	886	1032
462	887	1029
463	888	1026
464	889	1023
465	891	1021
466	892	1018
467	893	1015
468	894	1012
469	895	1010
470	897	1007
471	898	1004
472	899	1002
473	900	999
474	901	996
475	903	994
476	904	991
477	905	988
478	907	986
479	908	984
480	909	981
481	911	979
482	912	976
483	913	974
484	915	971
485	916	969
486	917	966
487	919	964
488	920	961
489	921	959
490	922	956
491	924	954
492	925	951
493	926	949
494	927	946
495	929	944
496	930	941
497	931	938
498	932	936
499	933	933
500	934	931
501	935	928
502	937	925
503	938	923
504	939	921
505	940	918
506	942	916
507	943	913
508	944	911
509	945	908
510	947	906
511	948	903
512	949	901
513	950	898
514	951	896
515	953	894
516	954	891
517	956	889
518	957	887
519	958	884
520	959	882
521	961	880
522	962	877
523	963	875
524	964	872
525	965	870
526	966	867
527	967	865
528	968	862
529	969	859
530	970	857
531	971	855
532	972	852
533	973	849
534	975	847
535	976	844
536	977	842
537	978	840
538	979	837
539	980	835
540	981	832
541	982	830
542	983	828
543	984	825
544	986	823
545	987	820
